0bd32970719075b20bde028,中西诗歌比较研究（第二版）（人文大讲堂）,茅于美
0c032140813aba669g01279d,时贤本事曲子集,杨绘
c1f32ca0813ab74feg01223b,宋元南戏传播考论（精）,俞为民著
37632fa0813ab90bfg018097,杜阳杂编,苏鹗
eec32ea07247155eeec66a7,北梦琐言,[宋]孙光宪
ec932180813ab9fa5g017111,词体长调的抒情美典研究,余佳韵
036320405be251036e69db8,复雅歌词,鲖阳居士
393328905c05a83934e17bf,乐府补题,佚名
84f32240813abbeccg012ae9,诗书相融气自华：书家必备古典诗词,莫砺锋
855322b0724715928557e12,坚瓠集(全四册）,[清]褚人获辑撰 李梦生校点
33432bf0813ab7aa3g014f3c,中国文学大辞典,钱仲联 章培恒 傅璇琮
ba4327f0813aba1ddg017231,浮世长安：唐代的民俗与人文,程蔷 董乃斌
95732f50813ab7b83g0159d5,湖畔仰浪集,罗时进
8eb32d00813ab8defg0183df,唐诗之路研究(第二辑)——中国唐诗之路研究会首届年会暨第二次学术研讨会论文集,卢盛江   高平
ceb329d07277f31bceb1877,律诗文体建构与礼乐文化传统（精装）（全三册）,张国安著
b7832d0071e1dfe7b783308,唐宋词格律,龙榆生
ae3328f0813abb2b9g010675,本事诗,[唐]孟棨 尹小林 审校
9d432070813abbf95g012a4f,唐宋名家词选,龙榆生
d5c328f0813abbf97g016272,中国文学史,郑振铎
45132db052ced64511c856d,中国文学史,郑振铎
db5320b0813ab7f10g01531d,南唐二主词汇笺,唐圭璋
32532a00813ab69aeg0112ae,唐代文学研究（第十六辑）,中国唐代文学学会 西北大学文学院 广西师范大学出版社
6ee32660813ab69aeg01341d,唐代文学研究年鉴（2016）,中国唐代文学学会 首都师范大学文学院 广西师范大学出版社
88132c60813ab89b3g018bee,唐代文学研究年鉴（2023）,中国唐代文学学会 首都师范大学文学院 广西师范大学出版社
78d327e0813aba2ebg0130a8,唐代文学研究（2024年第2辑/总第26辑）,李浩 李芳民
40c32c10813aba31bg019910,唐代文学研究（2024年第1辑/总第25辑）,李浩 李芳民
d4432ed072106c88d449c71,唐代文学研究年鉴（2019）,中国唐代文学学会 广州大学文学院 广西师范大学出版社
47532d20813ab69aeg014f06,唐代文学研究年鉴（2021）,中国唐代文学学会 广州大学人文学院 广西师范大学出版社
152328107166b8f515291cb,海外中国古典文学研究,中国社会科学院文学研究所
03132de0813abbec5g01276c,读古典文学的人,张伯伟
e1032aa07213bea1e104cb1,张燕瑾古典文学论集,张燕瑾
bfd326205e195cbfd4e4e69,文心,夏丏尊 叶圣陶
4eb326b0718983a44ebd9ca,古诗源（中华国学文库）,[清]沈德潜
e7132b20813abbc9fg013f96,诗经讲义稿,傅斯年
b5832070813abb750g012dd2,诗词格律十讲,王力
fcb32850813aba12fg018da3,《数字人文》2024年第2期,刘石 孙茂松 尹涛
23d32c2071a4c71d23d47b7,江苏社科名家文库·莫砺锋卷,莫砺锋
12432ff0813ab854eg0169b5,给孩子们的诗园：古诗卷,叶嘉莹/主编
f57321b0813abb8c1g011f0b,鸭池十讲【中华书局出品】,罗庸 著
fe632bd0813ab6f81g011e7e,美学的散步,宗白华
a1c323f0813abbba8g014934,诗书画印里的中国审美：北大美学课,蔡元培 朱光潜 等
